퀘스트 내용 데이터,,,,,,,,,,,,,,,,,
퀘스트 내용 데이터 Id,퀘스트 데이터 Id,"$목표오브젝트 Id(건물, 재료, 재화 등 해당하는 오브젝트의 데이터 ID)$",1단계 목표 수량,1단계 보상 ID,1단계 보상 수량,2단계 목표 수량,2단계 보상 ID,2단계 보상 수량,3단계 목표 수량,3단계 보상 ID,3단계 보상 수량,4단계 목표 수량,4단계 보상 ID,4단계 보상 수량,5단계 목표 수량,5단계 보상 ID,5단계 보상 수량
Id,QuestId,ContentTargetId,TargetAmount01,RewardId01,RewardAmount01,TargetAmount02,RewardId02,RewardAmount02,TargetAmount03,RewardId03,RewardAmount03,TargetAmount04,RewardId04,RewardAmount04,TargetAmount05,RewardId05,RewardAmount05
string,string,string,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int
qc_tuto01,quest_Tuto01,it10011,6,Coin,0,,,,,,,,,,,,
qc_tuto02,quest_Tuto02,it10111,4,Coin,100,,,,,,,,,,,,
qc_tuto03,quest_Tuto03,it10111,6,Coin,100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
qc_St01_001,quest0001,it10011,10,Coin,500,,,,,,,,,,,,
qc_St01_002,quest0002,it10111,5,Coin,300,5,Coin,400,,,,,,,,,
qc_St01_003,quest0003,it10011,5,Coin,400,10,Coin,500,,,,,,,,,
qc_St01_004,quest0004,it10011,15,Coin,400,,,,,,,,,,,,
qc_St01_005,quest0004,it10111,10,Coin,300,10,Coin,300,,,,,,,,,
qc_St01_006,quest0005,it10011,15,Coin,200,15,Coin,300,,,,,,,,,
qc_St01_007,quest0005,it10111,15,Coin,300,20,Coin,400,,,,,,,,,
qc_St01_008,quest0006,it10011,15,Coin,200,25,Coin,300,30,Coin,400,20,Coin,500,,,
qc_St01_009,quest0007,it10011,15,Coin,300,30,Coin,400,,,,,,,,,
qc_St01_010,quest0007,it10111,10,Coin,300,15,Coin,400,20,Coin,500,,,,,,
qc_St01_011,quest0008,it10111,15,Coin,300,20,Coin,400,20,Coin,500,30,Coin,600,,,
qc_St01_012,quest0009,it10011,20,Coin,300,25,Coin,400,30,Coin,500,,,,,,
qc_St01_013,quest0009,it10111,10,Coin,400,15,Coin,500,20,Coin,600,,,,,,
,,,,,,,,,,,,,,,,,
qc_St02_001,quest1001,it10011,15,Coin,400,,,,,,,,,,,,
qc_St02_002,quest1001,it10121,20,Coin,400,,,,,,,,,,,,
qc_St02_003,quest1002,it10122,5,Coin,500,10,Coin,500,,,,,,,,,
qc_St02_004,quest1003,it10011,25,Coin,300,,,,,,,,,,,,
qc_St02_005,quest1003,it10121,15,Coin,300,15,Coin,400,,,,,,,,,
qc_St02_006,quest1004,it10011,30,Coin,500,,,,,,,,,,,,
qc_St02_007,quest1004,it10122,25,Coin,500,,,,,,,,,,,,
qc_St02_008,quest1005,it10121,20,Coin,300,30,Coin,400,,,,,,,,,
qc_St02_009,quest1005,it10122,15,Coin,300,15,Coin,400,,,,,,,,,
qc_St02_010,quest1006,it10011,20,Coin,400,25,Coin,500,,,,,,,,,
qc_St02_011,quest1006,it10121,30,Coin,500,35,,,,,,,,,,,
qc_St02_012,quest1007,it10122,25,Coin,400,30,Coin,500,40,Coin,600,,,,,,
qc_St02_013,quest1008,it10011,25,Coin,300,,,,,,,,,,,,
qc_St02_014,quest1008,it10121,20,Coin,300,25,Coin,400,30,Coin,500,,,,,,
qc_St02_015,quest1008,it10122,15,Coin,500,20,Coin,600,,,,,,,,,
qc_St02_016,quest1009,it10121,25,Coin,500,30,Coin,500,30,Coin,600,50,Coin,700,,,
qc_St02_017,quest1010,it10011,25,Coin,500,30,Coin,600,40,Coin,700,,,,,,
qc_St02_018,quest1010,it10122,15,Coin,500,25,Coin,600,,,,,,,,,
qc_St02_019,quest1011,it10011,20,Coin,400,25,Coin,500,40,Coin,600,,,,,,
qc_St02_020,quest1011,it10121,25,Coin,500,30,Coin,600,50,Coin,700,,,,,,
qc_St02_021,quest1012,it10121,15,Coin,400,20,Coin,500,30,Coin,600,45,Coin,700,,,
qc_St02_022,quest1012,it10122,25,Coin,400,30,Coin,500,45,Coin,600,,,,,,
qc_St02_023,quest1013,it10011,20,Coin,300,20,Coin,400,30,Coin,500,,,,,,
qc_St02_024,quest1013,it10121,15,Coin,400,20,Coin,400,25,Coin,500,40,Coin,600,,,
qc_St02_025,quest1013,it10122,20,Coin,400,25,Coin,500,30,Coin,600,45,Coin,700,,,
,,,,,,,,,,,,,,,,,
qc_St03_001,quest2001,it10111,15,Coin,700,,,,,,,,,,,,
qc_St03_002,quest2001,it10121,10,Coin,500,20,Coin,600,,,,,,,,,
qc_St03_003,quest2002,it10121,15,Coin,500,20,Coin,600,,,,,,,,,
qc_St03_004,quest2002,it10122,10,Coin,600,15,Coin,700,,,,,,,,,
qc_St03_005,quest2003,it10011,20,Coin,500,25,Coin,600,,,,,,,,,
qc_St03_006,quest2003,it10131,10,Coin,700,15,Coin,800,,,,,,,,,
qc_St03_007,quest2004,it10011,10,Coin,500,20,Coin,500,,,,,,,,,
qc_St03_008,quest2004,it10111,10,Coin,500,15,Coin,600,,,,,,,,,
qc_St03_009,quest2004,it10121,10,Coin,500,15,Coin,600,25,Coin,700,,,,,,
qc_St03_010,quest2005,it10011,15,Coin,600,20,Coin,600,,,,,,,,,
qc_St03_011,quest2005,it10122,10,Coin,700,20,Coin,800,,,,,,,,,
qc_St03_012,quest2005,it10131,10,Coin,700,25,Coin,800,,,,,,,,,
qc_St03_013,quest2006,it10111,30,Coin,700,,,,,,,,,,,,
qc_St03_014,quest2006,it10121,20,Coin,800,25,Coin,900,,,,,,,,,
qc_St03_015,quest2006,it10132,15,Coin,900,20,Coin,1000,,,,,,,,,
qc_St03_016,quest2007,it10111,10,Coin,600,15,Coin,700,25,Coin,800,30,Coin,900,,,
qc_St03_017,quest2007,it10133,15,Coin,800,25,Coin,900,,,,,,,,,
qc_St03_018,quest2008,it10111,10,Coin,300,15,Coin,400,20,Coin,500,,,,,,
qc_St03_019,quest2008,it10121,10,Coin,300,15,Coin,300,15,Coin,400,30,Coin,500,,,
qc_St03_020,quest2008,it10131,10,Coin,400,20,Coin,500,,,,,,,,,
qc_St03_021,quest2008,it10132,15,Coin,800,20,Coin,1000,,,,,,,,,
qc_St03_022,quest2008,it10133,15,Coin,600,25,Coin,800,,,,,,,,,
qc_St03_023,quest2009,it10011,15,Coin,600,30,Coin,700,,,,,,,,,
qc_St03_024,quest2009,it10111,20,Coin,700,20,Coin,800,,,,,,,,,
qc_St03_025,quest2009,it10122,20,Coin,800,25,Coin,900,35,Coin,1000,,,,,,
qc_St03_026,quest2010,it10122,10,Coin,500,25,Coin,600,,,,,,,,,
qc_St03_027,quest2010,it10131,20,Coin,700,25,Coin,800,,,,,,,,,
qc_St03_028,quest2010,it10132,15,Coin,800,30,Coin,900,,,,,,,,,
qc_St03_029,quest2010,it10133,20,Coin,800,40,Coin,900,,,,,,,,,
qc_St03_030,quest2011,it10011,15,Coin,600,25,Coin,700,30,Coin,800,,,,,,
qc_St03_031,quest2011,it10121,25,Coin,600,30,Coin,700,40,Coin,800,,,,,,
qc_St03_032,quest2011,it10133,15,Coin,900,20,Coin,1000,,,,,,,,,
qc_St03_033,quest2012,it10111,15,Coin,800,30,Coin,1000,,,,,,,,,
qc_St03_034,quest2012,it10121,20,Coin,500,25,Coin,600,35,Coin,700,,,,,,
qc_St03_035,quest2012,it10122,20,Coin,800,25,Coin,900,,,,,,,,,
qc_St03_036,quest2012,it10132,20,Coin,800,25,Coin,900,,,,,,,,,
qc_St03_037,quest2013,it10011 ,15,Coin,500,20,Coin,600,30,Coin,700,,,,,,
qc_St03_038,quest2013,it10111,15,Coin,600,20,Coin,600,25,Coin,700,,,,,,
qc_St03_039,quest2013,it10122,15,Coin,600,25,Coin,700,,,,,,,,,
qc_St03_040,quest2013,it10131,20,Coin,700,25,Coin,800,,,,,,,,,
qc_St03_041,quest2013,it10133,15,Coin,700,35,Coin,800,,,,,,,,,
qc_St03_042,quest2014,it10011,10,Coin,300,15,Coin,300,15,Coin,400,20,Coin,500,,,
qc_St03_043,quest2014,it10111,15,Coin,400,15,Coin,500,20,Coin,600,30,Coin,800,,,
qc_St03_044,quest2014,it10121,10,Coin,400,10,Coin,400,25,Coin,500,30,Coin,600,,,
qc_St03_045,quest2014,it10122,10,Coin,600,15,Coin,700,20,Coin,900,,,,,,
qc_St03_046,quest2014,it10132,15,Coin,800,20,Coin,900,25,Coin,1000,,,,,,
