퀘스트 내용 데이터,,,,,,,,,,,,,,,,,
퀘스트 내용 데이터 Id,퀘스트 데이터 Id,"$목표오브젝트 Id(건물, 재료, 재화 등 해당하는 오브젝트의 데이터 ID)$",1단계 목표 수량,1단계 보상 ID,1단계 보상 수량,2단계 목표 수량,2단계 보상 ID,2단계 보상 수량,3단계 목표 수량,3단계 보상 ID,3단계 보상 수량,4단계 목표 수량,4단계 보상 ID,4단계 보상 수량,5단계 목표 수량,5단계 보상 ID,5단계 보상 수량
Id,QuestId,ContentTargetId,TargetAmount01,RewardId01,RewardAmount01,TargetAmount02,RewardId02,RewardAmount02,TargetAmount03,RewardId03,RewardAmount03,TargetAmount04,RewardId04,RewardAmount04,TargetAmount05,RewardId05,RewardAmount05
string,string,string,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int
qc_Tuto01,quest_Tuto01,it10111,4,Coin,100,,,,,,,,,,,,
qc_Tuto02,quest_Tuto02,it10111,4,Coin,100,,,,,,,,,,,,
qc_Tuto03,quest_Tuto03,it10111,4,Coin,100,,,,,,,,,,,,
qc_St01_01,quest0001,it10011,5,Coin,100,3,Coin,100,,,,,,,,,
qc_St01_02-1,quest0002,it10011,2,Coin,100,3,Coin,100,5,Gem,10,5,Gem,10,,,
qc_St01_02-2,quest0002,it10111,5,Coin,100,5,Coin,100,,,,,,,,,
qc_St01_03-1,quest0003,it10011,5,Coin,100,5,Coin,100,5,Gem,10,5,Gem,10,,,
qc_St01_03-2,quest0003,it10111,5,Coin,100,5,Coin,100,5,Gem,10,,,,,,
qc_St01_04-1,quest0004,it10011,5,Coin,100,5,Coin,100,5,Gem,10,,,,,,
qc_St01_04-2,quest0004,it10111,5,Coin,100,5,Coin,100,5,Gem,10,5,Gem,10,,,
qc_St02_01-1,quest1001,it10011,5,Coin,100,3,Coin,100,,,,,,,,,
qc_St02_02-1,quest1002,it10011,2,Coin,100,3,Coin,100,5,Gem,10,5,Gem,10,,,
qc_St02_02-2,quest1002,it10121,5,Coin,100,5,Coin,100,,,,,,,,,
qc_St02_03-1,quest1003,it10011,5,Coin,100,5,Coin,100,5,Gem,10,5,Gem,10,,,
qc_St02_03-2,quest1003,it10121,5,Coin,100,5,Coin,100,5,Gem,10,,,,,,
qc_St02_03-3,quest1003,it10122,5,Coin,100,5,Coin,100,5,Gem,10,,,,,,
qc_St02_04-1,quest1004,it10011,5,Coin,100,5,Coin,100,5,Gem,10,,,,,,
qc_St02_04-2,quest1004,it10121,5,Coin,100,5,Coin,100,5,Gem,10,5,Gem,10,,,
qc_St02_04-3,quest1004,it10122,5,Coin,100,5,Coin,100,5,Gem,10,,,,,,
