퀘스트 데이터,,,,,,,
퀘스트 데이터 ID,Npc ID,$퀘스트 순서(숫자가 작을수록 선행됨)$,퀘스트 이름,"$퀘스트 타입(0: 메인, 1: 서브)$",보상 재화 ID,보상 재화 지급 수량,퀘스트 설명
Id,NpcId,QuestOrder,QuestName,QuestType,RewardId,RewardAmount,Description
string,string,int,string,int,string,int,string
quest_Tuto01,npc000,1,$튜토리얼 퀘스트 1$,0,Coin,100,$튜토리얼 퀘스트 1 샘플 데이터$
quest_Tuto02,npc000,2,$튜토리얼 퀘스트 1$,0,Coin,100,$튜토리얼 퀘스트 1 샘플 데이터$
quest_Tuto03,npc000,3,$튜토리얼 퀘스트 1$,0,Coin,100,$튜토리얼 퀘스트 1 샘플 데이터$
quest0001,npc001,1,$스테이지01 퀘스트 1$,0,Coin,200,$스테이지01 퀘스트 1 샘플 데이터$
quest0002,npc001,2,$스테이지01 퀘스트 2$,0,Coin,200,$스테이지01 퀘스트 2 샘플 데이터$
quest0003,npc001,3,$스테이지01 퀘스트 3$,0,Coin,200,$스테이지01 퀘스트 3 샘플 데이터$
quest0004,npc001,4,$스테이지01 퀘스트 4$,0,Coin,200,$스테이지01 퀘스트 4 샘플 데이터$
quest1001,npc002,1,$스테이지02 퀘스트 1$,0,Coin,500,$스테이지02 퀘스트 1 샘플 데이터$
quest1002,npc002,2,$스테이지02 퀘스트 2$,0,Coin,500,$스테이지02 퀘스트 2 샘플 데이터$
quest1003,npc002,3,$스테이지02 퀘스트 3$,1,Coin,500,$스테이지02 퀘스트 3 샘플 데이터$
quest1004,npc002,3,$스테이지02 퀘스트 4$,1,Coin,500,$스테이지02 퀘스트 4 샘플 데이터$
