탈 것 스킨,,,,,
탈 것 스킨ID,탈 것 이름(한글),탈 것 이름(영문),재화 종류,비용,
CharacterSkinID,Name_KR,Name_UN,CostType,Cost,
int,string,string,string,int,
201,비카,BeeCar,Gem,0,기본 제공
202,박시대시,BoxiDash,Gem,200,
203,허니러시,HoneyRush,Gem,200,
204,모찌모토,MochiMoto,Gem,200,
205,피쉬배럴,FishBarrel,Gem,200,
206,에어지젯,AirzyJet,Gem,300,
207,에그롤러,EggRoller,Gem,300,
208,지피바이크,ZippyBike,Gem,300,
209,팟러너,PotRunner,Gem,200,
210,팽라이드,PengRide,Gem,300,
211,도그드라이브,DoggoDen Drive,Gem,300,
212,그냥자루,JustSack,Gem,500,
213,퍼티플라이어,FertiFlyer,Gem,300,
214,베럴블리츠,BarrelBlitz,Gem,300,
215,스쿠피줌,ScoopyZoom,Gem,300,
216,팟팟줌머,PotPot Zoomer,Gem,300,
217,키블카트,KibbleKart,Gem,300,
218,트래쉬트렉,TrashTrek,Gem,500,
219,샌드줌머,SandZoomer,Gem,300,
220,텁레이서,TubRacer,Gem,500,
221,컵크루즈,CupCruise,Gem,500,
222,호커스라이더,HocusRider,Gem,500,
223,클라우디고,CloudiGo,Gem,300,
