캐릭터 강회 비용 증가 수치,,,
캐릭터ID,강화 비용 증가 수치,,
CharacterID,UpgradeMultiplier,,
int,float,,// 계산식     LV에 맞는 속성 Cost x 각 캐릭터에 UngradeMultiplier = 강화 비용
302,0,,ex) 1렙 Speed 속성 Cost = 100      UpgradeMultiplier = 1.3        100*1.3 = 130  
401,1.1,,4렙 Speed 속성 Cost = 400      UpgradeMultiplier = 1.3        400*1.3 = 520  
402,1.2,,
403,1.3,,
404,1.4,,
405,1.4,,
406,1.4,,
407,1.4,,
501,1.5,,
502,1.6,,
503,1.7,,
504,1.8,,
505,1.8,,
506,1.8,,
507,1.8,,
508,1.8,,
509,1.8,,
510,1.8,,
511,1.8,,
512,1.8,,
513,1.8,,
514,1.8,,
515,1.8,,
601,1.8,,
602,1.8,,
603,1.8,,
604,1.8,,
605,1.8,,
606,1.8,,
607,1.8,,
608,1.8,,
609,1.8,,
610,1.8,,
611,1.8,,
