캐릭터 구매비용,,,
캐릭터ID,"$캐릭터 구매 비용(무료 재화)
-1 = 유료재화로만 구매 가능$",캐릭터 구매 비용(유료 재화),"$캐릭터 해금 여부
int 값은 퀘스트 번호$"
CharacterID,Cost,BMCost, Quest
int,int,int,int
302,0,0,0
401,200,,1
402,200,,1
403,400,,2
404,400,,3
405,800,,4
406,800,,4
501,200,,1
502,200,,2
503,200,,2
504,400,,3
505,400,,4
506,400,,4
507,800,,5
508,800,,6
509,-1,3300,4
510,-1,3300,4
511,800,,8
512,800,,8
513,800,,8
514,800,,8
515,800,,8
601,800,,
602,800,,
603,800,,
604,800,,
605,800,,
606,800,,
607,800,,
608,800,,
609,800,,
610,800,,
611,800,,
