Key,Korean,English
# UI Basic Text,,
ui_confirm,확인,Confirm
ui_cancel,취소,Cancel
ui_close,닫기,Close
ui_apply,적용,Apply
ui_back,뒤로,Back
ui_next,다음,Next
ui_previous,이전,Previous
,,
# Menu Related,,
menu_title,메뉴,Menu
menu_resume,게임 계속,Resume Game
menu_settings,설정,Settings
menu_exit,게임 종료,Exit Game
menu_inventory,인벤토리,Inventory
menu_start,게임 시작,Start Game
menu_close,닫기,Close
,,
# Game Related,,
game_over,게임 오버,Game Over
game_victory,승리!,Victory!
game_pause,일시정지,Pause
game_resume,계속,Resume
game_restart,다시 시작,Restart
,,
# Loading Related,,
loading_text,로딩 중...,Loading...
loading_please_wait,잠시만 기다려주세요,Please wait
,,
# Language Settings,,
language_settings_title,언어 설정,Language Settings
language_settings_apply,적용,Apply
language_settings_close,닫기,Close
,,
# Title Text,,
titleText,유니모,UniMo
,,
# Language Settings Panel,,
label,라벨,Label
preview,미리보기,Preview
translationcompleteness,번역 완성도,Translation Completeness
currentlanguage,현재 언어,Current Language
reset,초기화,Reset
close,닫기,Close
apply,적용,Apply
test,테스트,Test
cancel,취소,Cancel
confirm,확인,Confirm
titletext,유니모,UniMo
,,
# Additional UI Elements,,
exit,종료,Exit
settings,설정,Settings
start,시작,Start
item,아이템,Item
title,유니모,UniMo
closebutton,닫기,Close
exitbutton,종료,Exit
settingsbutton,설정,Settings
startbutton,시작,Start
